issue_date,province_id,lead,probability,base_rate,y_obs
2024-02-21,1,3,0.315891,0.117017,0.0
2024-02-21,1,4,0.383652,0.117092,0.0
2024-02-21,1,5,0.394871,0.116618,0.0
2024-02-21,1,6,0.408534,0.116051,0.0
2024-02-22,1,2,0.251145,0.116942,0.0
2024-02-22,1,3,0.275564,0.117017,0.0
2024-02-22,1,4,0.302786,0.117092,0.0
2024-02-22,1,5,0.307802,0.116618,0.0
2024-02-22,1,6,0.34424,0.116051,0.0
2024-02-23,1,2,0.255762,0.116942,0.0
2024-02-23,1,3,0.280765,0.117017,0.0
2024-02-23,1,4,0.308076,0.117092,0.0
2024-02-23,1,5,0.318056,0.116618,0.0
2024-02-23,1,6,0.346368,0.116051,0.0
2024-02-24,1,2,0.269465,0.116942,0.0
2024-02-24,1,3,0.277009,0.117017,0.0
2024-02-24,1,4,0.271713,0.117092,0.0
2024-02-24,1,5,0.287935,0.116618,0.0
2024-02-24,1,6,0.328844,0.116051,0.0
2024-01-30,2,2,0.399294,0.105696,1.0
2024-01-30,2,3,0.463848,0.105764,0.0
2024-01-30,2,4,0.424119,0.105832,0.0
2024-01-30,2,5,0.432295,0.1059,1.0
2024-01-30,2,6,0.464466,0.105968,0.0
2024-01-31,2,2,0.4042,0.105696,1.0
2024-01-31,2,3,0.46572,0.105764,0.0
2024-01-31,2,4,0.426238,0.105832,1.0
2024-01-31,2,5,0.437436,0.1059,1.0
2024-01-31,2,6,0.462774,0.105968,0.0
2024-02-01,2,2,0.380467,0.105696,1.0
2024-02-01,2,3,0.435969,0.105764,0.0
2024-02-01,2,4,0.39552,0.105832,1.0
2024-02-01,2,5,0.402103,0.1059,1.0
2024-02-01,2,6,0.428151,0.105968,0.0
2024-02-02,2,2,0.392857,0.105696,0.0
2024-02-02,2,3,0.440279,0.105764,0.0
2024-02-02,2,4,0.408634,0.105832,1.0
2024-02-02,2,5,0.417251,0.1059,0.0
2024-02-02,2,6,0.438529,0.105968,0.0
2024-02-03,2,2,0.353577,0.105696,0.0
2024-02-03,2,3,0.393951,0.105764,0.0
